     12 Acacia
      5 Acosmium
      1 Acrocomia
      3 Agonandra
      1 Albizzia
     10 Alibertia
      4 Allophyllusc
      7 Annona
      2 Astronium
      1 Ateleia
      3 Bauhinia
      3 Brosimum
     11 Bursera
      5 Byrsonima
      5 Calycophyllum
      3 Capparis
     13 Casearia
      1 Castilla
      2 Cecropia
      1 Cedrela
      1 Ceiba
      1 Cestrum
      8 Chomelia
      2 Coccoloba
      8 Cochlospermum
     12 Cordia
      3 Cornutia
      1 Coursetia
      1 Crescentia
      4 Cupania
      4 Curatella
      1 Diospyros
      1 Dipterodendron
      5 Enterolobium
      1 Erythroxylon
      1 Exostema
      1 Faramea
      3 Ficus
      7 Genipa
      7 Guazuma
      6 Guettarda
      4 Hirtella
      5 Hymenaea
      2 Inga
      1 Ixora
      4 Jacquinia
      1 Karwinskia
      1 Krugiodendron
      4 Lonchocarpus
      8 Luehea
      2 Machaerium
      4 Maclura
      3 Malpighia
      5 Malvaviscus
      6 Manilkara
      2 Miconia
      3 Mouriri
      1 Myrospermum
      2 Ocotea
      3 Picramnia
      2 Piper
      2 Pisonia
      2 Pithecellobium
      3 Pseudobombax
      2 Quercus
      9 Randia
      3 Rehdera
      4 Roupala
      3 Samanea
      1 Sapranthus
      2 Sebastiania
      4 Semialarium
      1 Sideroxylon
      5 Simarouba
      1 Sloanea
      6 Spondias
      4 Stemmadenia
      1 Swartzia
      9 Tabebuea
      9 Tetracera
      2 Thouinidium
      3 Trichilia
      1 Xylosma
      2 Zanthoxylum
