96:Dasyuromorphia Dasyuridae Planigale Planigale gilesi 9.34
97:Dasyuromorphia Dasyuridae Parantechinus Parantechinus apicalis 71.31
98:Rodentia Dipodidae Napaeozapus Napaeozapus insignis 22.25
99:Rodentia Caviidae Cavia Cavia tschudii 1000
100:Rodentia Caviidae Cavia Cavia aperea 524.38
101:Dasyuromorphia Dasyuridae Planigale Planigale maculata 12
102:Rodentia Cricetidae Neotoma Neotoma floridana 249.16
103:Rodentia Muridae Leporillus Leporillus conditor 328.82
104:Rodentia Heteromyidae Perognathus Perognathus parvus 21.56
105:Carnivora Mustelidae Ictonyx Ictonyx libyca 225.18
106:Dasyuromorphia Dasyuridae Antechinus Antechinus agilis 22.13
107:Eulipotyphla Talpidae Parascalops Parascalops breweri 51.11
108:Chiroptera Vespertilionidae Myotis Myotis nigricans 9.5971698113
109:Rodentia Ctenodactylidae Ctenodactylus Ctenodactylus gundi 288.41
110:Rodentia Sciuridae Spermophilus Spermophilus beecheyi 597.82
111:Rodentia Muridae Tatera Tatera indica 138.28
112:Diprotodontia Macropodidae Onychogalea Onychogalea fraenata 4952.05
113:Cetartiodactyla Bovidae Cephalophus Cephalophus leucogaster 13208.69
114:Rodentia Cricetidae Podomys Podomys floridanus 30.74
115:Dasyuromorphia Dasyuridae Pseudantechinus Pseudantechinus macdonnellensis 36.88
116:Rodentia Ctenodactylidae Ctenodactylus Ctenodactylus vali 173.6
117:Macroscelidea Macroscelididae Rhynchocyon Rhynchocyon chrysopygus 535.2
118:Lagomorpha Ochotonidae Ochotona Ochotona cansus 68.75
119:Rodentia Cricetidae Peromyscus Peromyscus eremicus 22.73
120:Rodentia Sciuridae Spermophilus Spermophilus armatus 306.48
121:Rodentia Gliridae Muscardinus Muscardinus avellanarius 29.19
122:Dasyuromorphia Dasyuridae Phascogale Phascogale tapoatafa 192.65
123:Rodentia Gliridae Glirulus Glirulus japonicus 27
124:Rodentia Sciuridae Ammospermophilus Ammospermophilus nelsoni 160.42
125:Rodentia Muridae Pseudomys Pseudomys australis 52.97
126:Lagomorpha Leporidae Sylvilagus Sylvilagus nuttallii 801.54
127:Didelphimorphia Didelphidae Caluromys Caluromys derbianus 326.72
128:Rodentia Cricetidae Peromyscus Peromyscus crinitus 16.32
129:Dasyuromorphia Dasyuridae Dasyurus Dasyurus geoffroii 1106.62
130:Dasyuromorphia Dasyuridae Dasyurus Dasyurus maculatus 3284.15
131:Lagomorpha Leporidae Sylvilagus Sylvilagus audubonii 880.88
132:Eulipotyphla Erinaceidae Erinaceus Erinaceus concolor 665.99
133:Eulipotyphla Erinaceidae Hemiechinus Hemiechinus auritus 322.04
134:Rodentia Heteromyidae Chaetodipus Chaetodipus formosus 20.02
135:Eulipotyphla Talpidae Scalopus Scalopus aquaticus 87.15
136:Rodentia Muridae Gerbillus Gerbillus pyramidum 42.8
137:Rodentia Sciuridae Spermophilus Spermophilus citellus 395.97
138:Rodentia Echimyidae Thrichomys Thrichomys apereoides 297.53
139:Cetartiodactyla Bovidae Cephalophus Cephalophus spadix 56857.02
140:Rodentia Bathyergidae Georychus Georychus capensis 188.36
141:Lagomorpha Leporidae Sylvilagus Sylvilagus palustris 1355.23
142:Chiroptera Pteropodidae Eonycteris Eonycteris spelaea 58.7
143:Rodentia Heteromyidae Dipodomys Dipodomys deserti 107.63
144:Carnivora Mustelidae Mustela Mustela frenata 190.03
145:Macroscelidea Macroscelididae Macroscelides Macroscelides proboscideus 38.64
146:Rodentia Heteromyidae Perognathus Perognathus longimembris 8.07
147:Diprotodontia Potoroidae Bettongia Bettongia tropica 1256.58
148:Dasyuromorphia Dasyuridae Dasyurus Dasyurus viverrinus 1101.49
149:Rodentia Gliridae Eliomys Eliomys quercinus 114.61
150:Afrosoricida Tenrecidae Tenrec Tenrec ecaudatus 887.59
151:Carnivora Viverridae Poiana Poiana richardsonii 570.08
152:Rodentia Cricetidae Neotoma Neotoma albigula 208.18
153:Rodentia Heteromyidae Chaetodipus Chaetodipus fallax 19.19
154:Rodentia Sciuridae Spermophilus Spermophilus franklinii 457.64
155:Lagomorpha Ochotonidae Ochotona Ochotona princeps 157.63
156:Dasyuromorphia Dasyuridae Dasyuroides Dasyuroides byrnei 109.47
157:Rodentia Sciuridae Spermophilus Spermophilus tridecemlineatus 174.91
158:Dasyuromorphia Dasyuridae Dasycercus Dasycercus cristicauda 99.54
159:Lagomorpha Leporidae Lepus Lepus arcticus 4412.73
160:Carnivora Mustelidae Mustela Mustela erminea 284.5
161:Rodentia Heteromyidae Dipodomys Dipodomys spectabilis 124.61
162:Lagomorpha Leporidae Sylvilagus Sylvilagus transitionalis 813.51
163:Carnivora Viverridae Poiana Poiana leightoni 570.08
164:Lagomorpha Leporidae Lepus Lepus townsendii 3371.64
165:Diprotodontia Macropodidae Lagorchestes Lagorchestes conspicillatus 2821.01
166:Rodentia Sciuridae Xerus Xerus erythropus 602.23
167:Lagomorpha Leporidae Sylvilagus Sylvilagus floridanus 1207.19
168:Carnivora Mustelidae Vormela Vormela peregusna 594.13
169:Rodentia Geomyidae Geomys Geomys bursarius 203.75
170:Rodentia Sciuridae Tamias Tamias townsendii 79.12
171:Rodentia Heteromyidae Dipodomys Dipodomys ordii 50.4
172:Rodentia Sciuridae Tamias Tamias minimus 42.87
173:Rodentia Capromyidae Geocapromys Geocapromys ingrahami 733.52
174:Afrosoricida Tenrecidae Microgale Microgale dobsoni 36.66
175:Carnivora Eupleridae Salanoia Salanoia concolor 711.49
176:Rodentia Sciuridae Tamias Tamias striatus 111.9
177:Carnivora Mephitidae Conepatus Conepatus leuconotus 3293.91
178:Carnivora Canidae Urocyon Urocyon littoralis 1923
179:Peramelemorphia Thylacomyidae Macrotis Macrotis lagotis 1229.58
180:Carnivora Mustelidae Mustela Mustela nivalis 78.45
181:Macroscelidea Macroscelididae Elephantulus Elephantulus intufi 48.9
182:Rodentia Sciuridae Ammospermophilus Ammospermophilus leucurus 103.92
183:Rodentia Sciuridae Spermophilus Spermophilus tereticaudus 147.57
184:Rodentia Cricetidae Neotoma Neotoma lepida 143.88
185:Lagomorpha Leporidae Lepus Lepus californicus 2422.48
186:Carnivora Mustelidae Poecilogale Poecilogale albinucha 308.16
187:Carnivora Mustelidae Mustela Mustela kathiah 263.74
188:Carnivora Mephitidae Spilogale Spilogale putorius 566.49
189:Carnivora Mustelidae Galictis Galictis cuja 1000
190:Carnivora Herpestidae Mungos Mungos gambianus 1644.98
191:Chiroptera Pteropodidae Cynopterus Cynopterus brachyotis 33.87
192:Chiroptera Vespertilionidae Corynorhinus Corynorhinus rafinesquii 9.15
193:Carnivora Mephitidae Spilogale Spilogale gracilis 466.5
194:Carnivora Herpestidae Herpestes Herpestes pulverulentus 742
195:Carnivora Mephitidae Conepatus Conepatus humboldtii 1097.61
196:Rodentia Octodontidae Octodon Octodon degus 203.27
197:Rodentia Sciuridae Tamias Tamias sibiricus 94.16
198:Carnivora Herpestidae Crossarchus Crossarchus ansorgei 700
199:Carnivora Mephitidae Conepatus Conepatus chinga 1917.5
200:Carnivora Canidae Vulpes Vulpes bengalensis 2514.4
201:Rodentia Ctenodactylidae Pectinator Pectinator spekei 169.7
202:Eulipotyphla Erinaceidae Atelerix Atelerix albiventris 293.44
203:Diprotodontia Macropodidae Thylogale Thylogale stigmatica 4511.47
204:Carnivora Canidae Vulpes Vulpes chama 2919.8
205:Carnivora Canidae Lycalopex Pseudalopex fulvipes 2720
206:Carnivora Herpestidae Crossarchus Crossarchus obscurus 1395.09
207:Carnivora Herpestidae Rhynchogale Rhynchogale melleri 2240.33
208:Cetartiodactyla Cervidae Pudu Pudu mephistophiles 9599.96
209:Carnivora Felidae Leopardus Leopardus jacobita 8133.78
210:Carnivora Canidae Vulpes Vulpes cana 988.5
211:Carnivora Herpestidae Helogale Helogale hirtula 484.63
212:Carnivora Herpestidae Herpestes Herpestes sanguineus 500
213:Carnivora Canidae Vulpes Vulpes ferrilata 5543.74
214:Rodentia Sciuridae Spermophilus Spermophilus lateralis 175.1
215:Chiroptera Vespertilionidae Lasionycteris Lasionycteris noctivagans 11.02
216:Rodentia Sciuridae Tamiasciurus Tamiasciurus hudsonicus 200.24
217:Carnivora Canidae Atelocynus Atelocynus microtis 8363.22
218:Cetartiodactyla Cervidae Hippocamelus Hippocamelus antisensis 68599.35
219:Cingulata Dasypodidae Zaedyus Zaedyus pichiy 1444.76
220:Cingulata Dasypodidae Chaetophractus Chaetophractus villosus 4372.8
221:Cetartiodactyla Cervidae Pudu Pudu puda 9642.62
222:Carnivora Canidae Canis Canis simensis 14361.86
223:Cetartiodactyla Cervidae Mazama Mazama chunyi 16071.74
224:Cetartiodactyla Cervidae Muntiacus Muntiacus vaginalis 18368.41
225:Carnivora Canidae Lycalopex Pseudalopex sechurae 4234
226:Carnivora Mustelidae Martes Martes gwatkinsii 2038.49
227:Carnivora Herpestidae Herpestes Herpestes javanicus 750
228:Carnivora Canidae Lycalopex Pseudalopex vetulus 4233.47
229:Carnivora Mustelidae Neovison Neovison vison 1100
230:Carnivora Mustelidae Mustela Mustela sibirica 530.85
231:Carnivora Mustelidae Melogale Melogale personata 1845.26
232:Carnivora Mustelidae Mustela Mustela nigripes 907.1
233:Carnivora Herpestidae Crossarchus Crossarchus platycephalus 1250
234:Chiroptera Vespertilionidae Myotis Myotis volans 8.71
235:Carnivora Prionodontidae Prionodon Prionodon linsang 684.83
236:Chiroptera Vespertilionidae Antrozous Antrozous pallidus 22.24
237:Primates Lepilemuridae Lepilemur Lepilemur leucopus 599.99
238:Afrosoricida Tenrecidae Setifer Setifer setosus 263.22
239:Carnivora Canidae Vulpes Vulpes pallida 2800.01
240:Carnivora Canidae Cerdocyon Cerdocyon thous 5741.66
241:Carnivora Canidae Canis Canis adustus 10392.49
242:Carnivora Canidae Speothos Speothos venaticus 6324.54
243:Cetartiodactyla Bovidae Neotragus Neotragus pygmaeus 3913.68
244:Rodentia Sciuridae Cynomys Cynomys ludovicianus 797.05
245:Cetartiodactyla Bovidae Cephalophus Cephalophus niger 19094.32
246:Carnivora Mustelidae Mustela Mustela africana 536.98
247:Carnivora Felidae Lynx Lynx pardinus 11050
248:Chiroptera Vespertilionidae Myotis Myotis velifer 9.82
249:Carnivora Prionodontidae Prionodon Prionodon pardicolor 1142.68
250:Rodentia Sciuridae Callosciurus Callosciurus notatus 209.49
251:Carnivora Herpestidae Herpestes Herpestes edwardsii 1324.2
252:Cetartiodactyla Suidae Porcula Porcula salvania 9200
253:Rodentia Dasyproctidae Myoprocta Myoprocta acouchy 954.87
254:Chiroptera Vespertilionidae Vespertilio Vespertilio murinus 15.42
255:Rodentia Sciuridae Xerus Xerus inauris 572.6
256:Carnivora Procyonidae Procyon Procyon pygmaeus 2958.03
257:Rodentia Sciuridae Marmota Marmota monax 3880.93
258:Rodentia Bathyergidae Cryptomys Cryptomys hottentotus 75.13
259:Carnivora Herpestidae Herpestes Herpestes vitticollis 2380
260:Carnivora Mustelidae Aonyx Aonyx capensis 19322.22
261:Carnivora Mustelidae Melogale Melogale moschata 938.5
262:Carnivora Herpestidae Paracynictis Paracynictis selousi 1669.72
263:Rodentia Sciuridae Trogopterus Trogopterus xanthipes 744.937
264:Carnivora Mustelidae Mustela Mustela putorius 975.55
265:Diprotodontia Phalangeridae Spilocuscus Spilocuscus maculatus 4060.46
266:Carnivora Viverridae Viverricula Viverricula indica 2918.88
267:Carnivora Herpestidae Herpestes Herpestes urva 2384.19
268:Carnivora Canidae Lycalopex Pseudalopex culpaeus 8616.24
269:Hyracoidea Procaviidae Dendrohyrax Dendrohyrax dorsalis 3174.99
270:Rodentia Dasyproctidae Dasyprocta Dasyprocta punctata 2309.12
271:Carnivora Felidae Felis Felis nigripes 1362.77
272:Cetartiodactyla Bovidae Saiga Saiga tatarica 37734.01
273:Dasyuromorphia Dasyuridae Sarcophilus Sarcophilus harrisii 8202.25
274:Rodentia Capromyidae Capromys Capromys pilorides 5200
275:Carnivora Canidae Lycalopex Pseudalopex gymnocercus 4542.67
276:Rodentia Sciuridae Glaucomys Glaucomys sabrinus 137.53
277:Carnivora Canidae Vulpes Vulpes rueppellii 3249.97
278:Carnivora Herpestidae Herpestes Herpestes brachyurus 1396.16
279:Carnivora Mephitidae Mydaus Mydaus javanensis 2500
280:Carnivora Felidae Felis Felis margarita 2823.36
281:Carnivora Mephitidae Mephitis Mephitis mephitis 2399.99
282:Carnivora Mustelidae Mustela Mustela lutreolina 466.25
283:Carnivora Mephitidae Conepatus Conepatus semistriatus 1997.34
284:Cetartiodactyla Bovidae Raphicerus Raphicerus sharpei 9396.9
285:Cetartiodactyla Bovidae Raphicerus Raphicerus campestris 11661.53
286:Carnivora Mustelidae Lyncodon Lyncodon patagonicus 225
287:Carnivora Eupleridae Galidictis Galidictis grandidieri 1400
288:Carnivora Mustelidae Martes Martes melampus 1000
289:Carnivora Herpestidae Helogale Helogale parvula 281.83
290:Cetartiodactyla Bovidae Nesotragus Nesotragus moschatus 6499
291:Cetartiodactyla Tragulidae Moschiola Moschiola meminna 3130.95
292:Carnivora Herpestidae Herpestes Herpestes ochraceus 549.997
293:Cetartiodactyla Bovidae Pelea Pelea capreolus 22731.33
294:Cetartiodactyla Bovidae Procapra Procapra gutturosa 28274.27
295:Carnivora Mustelidae Arctonyx Arctonyx collaris 8166.52
296:Chiroptera Vespertilionidae Pipistrellus Pipistrellus subflavus 5.74
297:Cetartiodactyla Bovidae Eudorcas Eudorcas albonotata 25000
298:Carnivora Viverridae Paradoxurus Paradoxurus jerdoni 3530.33
299:Carnivora Felidae Pardofelis Pardofelis marmorata 2826.68
300:Chiroptera Molossidae Tadarida Tadarida brasiliensis 12.61
301:Chiroptera Pteropodidae Rousettus Rousettus aegyptiacus 134
302:Carnivora Mephitidae Spilogale Spilogale pygmaea 365
303:Rodentia Chinchillidae Chinchilla Chinchilla lanigera 480.28
304:Carnivora Viverridae Hemigalus Hemigalus derbyanus 1262.7
305:Carnivora Herpestidae Herpestes Herpestes fuscus 1348.963
306:Carnivora Viverridae Diplogale Diplogale hosei 1450
307:Carnivora Herpestidae Liberiictis Liberiictis kuhni 1825.47
308:Cetartiodactyla Tragulidae Tragulus Tragulus javanicus 1889.93
309:Cetartiodactyla Tragulidae Tragulus Tragulus kanchil 2000
310:Carnivora Herpestidae Bdeogale Bdeogale omnivora 2281.7133333333
311:Carnivora Viverridae Arctogalidia Arctogalidia trivirgata 2323.79
312:Carnivora Herpestidae Bdeogale Bdeogale jacksoni 2500
313:Carnivora Viverridae Chrotogale Chrotogale owstoni 3267.71
314:Cingulata Dasypodidae Dasypus Dasypus novemcinctus 3949.01
315:Carnivora Viverridae Cynogale Cynogale bennettii 4246.57
316:Cingulata Dasypodidae Euphractus Euphractus sexcinctus 4731.16
317:Carnivora Viverridae Macrogalidia Macrogalidia musschenbroekii 5148.86
318:Carnivora Viverridae Viverra Viverra megaspila 9250
319:Cetartiodactyla Bovidae Dorcatragus Dorcatragus megalotis 10918.12
320:Carnivora Felidae Caracal Caracal aurata 12400
321:Cetartiodactyla Bovidae Cephalophus Cephalophus zebra 15654.75
322:Cetartiodactyla Bovidae Eudorcas Eudorcas rufifrons 26999.77
323:Cetartiodactyla Cervidae Rusa Rusa timorensis 66375.5
324:Cetartiodactyla Bovidae Cephalophus Cephalophus jentinki 68489.54
325:Cetartiodactyla Cervidae Rangifer Rangifer tarandus 109088.5
326:Cetartiodactyla Cervidae Blastocerus Blastocerus dichotomus 112518.5
327:Carnivora Canidae Canis Canis mesomelas 8247.3
328:Diprotodontia Macropodidae Petrogale Petrogale assimilis 4618.88
329:Carnivora Mustelidae Mustela Mustela altaica 180.24
330:Carnivora Herpestidae Bdeogale Bdeogale crassicauda 1722.13
332:Cetartiodactyla Bovidae Raphicerus Raphicerus melanotis 10503.14
333:Carnivora Canidae Alopex Alopex lagopus 3584.37
334:Carnivora Canidae Vulpes Vulpes zerda 1317.13
335:Primates Cheirogaleidae Cheirogaleus Cheirogaleus major 446.02
336:Cetartiodactyla Bovidae Cephalophus Cephalophus natalensis 12724.51
337:Cetartiodactyla Cervidae Muntiacus Muntiacus feae 21999.99
338:Eulipotyphla Solenodontidae Solenodon Solenodon paradoxus 899.99
339:Carnivora Procyonidae Bassaricyon Bassaricyon beddardi 1235.01
340:Carnivora Felidae Felis Felis chaus 7157.99
341:Primates Callitrichidae Callithrix Mico humeralifer 472
342:Rodentia Sciuridae Marmota Marmota caligata 2253.71
343:Cetartiodactyla Bovidae Redunca Redunca fulvorufula 29352.66
344:Chiroptera Phyllostomidae Artibeus Artibeus jamaicensis 43.63
345:Cetartiodactyla Tragulidae Hyemoschus Hyemoschus aquaticus 10850
346:Rodentia Sciuridae Glaucomys Glaucomys volans 71.9
347:Carnivora Herpestidae Cynictis Cynictis penicillata 694.41
348:Carnivora Mustelidae Mustela Mustela itatsi 300
349:Cetartiodactyla Bovidae Madoqua Madoqua guentheri 4623.7
