10 Tetracera volubilis tetvol 12
10 Tabebuea ochracea taboch 39
10 Brosimum  alicastrum broali 2
10 Bursera simaruba bursim 2
10 Casearia nitida casnit 2
10 Casearia sylvestris  cassyl 25
10 Cecropia peltata cecpel 1
10 Chomelia spinosa chospi 1
10 Cordia panamensis corpan 16
10 Cupania guatemalensis cupgua 8
10 Enterolobium cyclocarpum entcyc 2
10 Guettarda macrosperma  guamac 2
10 Guazuma ulmifolia guaulm 3
10 Hirtella racemosa hirrac 1
10 Hymenaea courbaril hymcou 13
10 Inga vera ingver 2
10 Jacquinia nervosa jacner 1
10 Luehea speciosa luespe 39
10 Lonchocarpus  rugosus lonrug 1
10 Maclura tinctoria mactin 2
10 Malvaviscus arboreus malarb 15
10 Manilkara chicle manchi 5
10 Miconia argentea  micarg 6
10 Ocotea veraguensis ocover 2
10 Pseudobombax  pseudobom 2
10 Randia subcordata ransub 2
10 Samanea  saman samsam 1
10 Simarouba glauca simgla 7
10 Spondias  mombin spomom 10
11 Acacia collinsii acacol 2
11 Allophyllusc occidentalisc allocc 7
11 Annona purpurea  annpur 1
11 Calycophyllum candidissimum calcan 22
11 Capparis  frondosa capfro 3
11 Casearia sylvestris  cassyl 7
11 Chomelia spinosa chospi 1
11 Coccoloba  guanacastensis cocgua 1
11 Cochlospermum vitifolium cocvit 1
11 Cornutia  cornutia 1
11 Cordia panamensis corpan 1
11 Cupania guatemalensis cupgua 1
11 Genipa americana gename 1
11 Guettarda macrosperma  guamac 1
11 Guazuma ulmifolia guaulm 2
11 Hirtella racemosa hirrac 26
11 Hymenaea courbaril hymcou 3
11 Inga vera ingver 1
11 Lonchocarpus  rugosus lonrug 1
11 Luehea speciosa luespe 8
11 Malvaviscus arboreus malarb 5
11 Manilkara chicle manchi 3
11 Mouriri myrtilloides moumyr 1
11 Picramnia  quaternaria picqua 4
11 Pithecellobium dulce pitdul 13
11 Randia thurberi ranthu 1
11 Bursera simaruba bursim 1
11 Sebastiania  pavoniana sebpav 1
11 Sideroxylon  capiri sidcap 1
11 Stemmadenia obovata steobo 4
11 Swartzia  cubensis swacub 9
11 Tabebuea ochracea taboch 2
11 Tetracera volubilis tetvol 16
11 Zanthoxylum setulosum zanset 2
12 Acacia collinsii acacol 1
12 Albizzia adinocephala albadi 1
12 Alibertia  edulis aliedu 1
12 Allophyllusc occidentalisc allocc 1
12 Astronium graveolens  astgra 16
12 Ateleia herbert-smithii ateher 7
12 Bursera simaruba bursim 15
12 Calycophyllum candidissimum calcan 27
12 Capparis  indica capind 15
12 Chomelia spinosa chospi 9
12 Cochlospermum vitifolium cocvit 5
12 Cordia panamensis corpan 5
12 Coursetia  elliptica coursetia elliptica 26
12 Erythroxylon havanense eryhav 5
12 Exostema mexicanum exomex 28
12 Genipa americana gename 2
12 Guazuma ulmifolia guaulm 1
12 Guettarda macrosperma  guamac 4
12 Jacquinia nervosa jacner 12
12 Krugiodendron  ferreum krufer 2
12 Lonchocarpus   loncho 3
12 Luehea speciosa luespe 8
12 Machaerium biovulatum macbio 7
12 Manilkara chicle manchi 1
12 Myrospermum  frutescens myrfru 8
12 Pisonia macranthocarpa pismac 10
12 Pseudobombax  pseudobom 1
12 Randia subcordata ransub 20
12 Randia   karstenii rancar 1
12 Sapranthus palanga sappal 12
12 Semialarium mexicanum hemmex 16
12 Simarouba glauca simgla 1
12 Spondias  mombin spomom 1
12 Stemmadenia obovata steobo 6
12 Tabebuea ochracea taboch 7
12 Ficus  fig 1
12 Tetracera volubilis tetvol 1
12 Randia monantha  2
13 Acacia collinsii acacol 1
13 Astronium graveolens  astgra 2
13 Tabebuea ochracea taboch 3
13 Brosimum  alicastrum broali 7
13 Calycophyllum candidissimum calcan 2
13 Casearia sylvestris  cassyl 2
13 Cecropia peltata cecpel 2
13 Chomelia spinosa chospi 1
13 Dipterodendron costaricensis dipcos 4
13 Enterolobium cyclocarpum entcyc 1
13 Faramea occidentalis farocc 2
13 Guettarda macrosperma  guamac 2
13 Hirtella racemosa hirrac 43
13 Hymenaea courbaril hymcou 2
13 Luehea speciosa luespe 2
13 Malpighia glabra malgla 47
13 Manilkara chicle manchi 8
13 Mouriri myrtilloides moumyr 45
13 Ocotea veraguensis ocover 1
13 Picramnia  quaternaria picqua 9
13 Randia subcordata ransub 2
13 Sebastiania  pavoniana sebpav 10
13 Sloanea terniflora sloter 3
13 Ficus  stranfig 13
13 Tetracera volubilis tetvol 29
14 Alibertia  edulis aliedu 3
14 Annona purpurea  annpur 1
14 Brosimum  alicastrum broali 21
14 Bursera simaruba bursim 1
14 Calycophyllum candidissimum calcan 5
14 Castilla  elastica casela 5
